Strategy,C,Gamma,Kernel,Accuracy_mean,Precision_mean,Recall_mean,F1_mean,AUC_mean,Training_Time_mean,TP_mean,TN_mean,FP_mean,FN_mean
MFCC,1.0,0.01,rbf,0.6509851365364673,0.6430205125528472,0.6912622465254044,0.6659628736952157,0.698873174501941,0.4023956298828125,91.8,79.8,51.0,41.0
MFCC,1.0,0.1,linear,0.6365595114644544,0.632429218682384,0.6686375028480291,0.649023476872195,0.6811073264488291,0.6115310668945313,88.8,79.0,51.8,44.0
MFCC,1.0,0.1,rbf,0.6221223643276875,0.6313941330748598,0.6038847117794486,0.6166861391396707,0.6790355138366386,0.6752904415130615,80.2,83.8,47.0,52.6
MFCC,1.0,1.0,linear,0.6365595114644544,0.632429218682384,0.6686375028480291,0.649023476872195,0.6811073264488291,0.8253031730651855,88.8,79.0,51.8,44.0
MFCC,1.0,1.0,rbf,0.5030389445788686,0.5034875018709773,0.9879585326953748,0.6670155424145691,0.5151473396029443,0.5610383987426758,131.2,1.4,129.4,1.6
MFCC,10.0,0.001,linear,0.6373199677382186,0.6337546879873053,0.667133743449533,0.6490276329917022,0.6809413621064887,4.062722253799438,88.6,79.4,51.4,44.2
MFCC,10.0,0.001,rbf,0.6297182855167647,0.6236474407378008,0.6685805422647527,0.6448844931283955,0.6893442662868134,0.3998971939086914,88.8,77.2,53.6,44.0
MFCC,10.0,0.01,linear,0.6373199677382186,0.6337546879873053,0.667133743449533,0.6490276329917022,0.6809413621064887,4.045882892608643,88.6,79.4,51.4,44.2
MFCC,10.0,0.01,rbf,0.629721166032953,0.6296968755799428,0.6475734791524265,0.6376970571617034,0.6803965439943745,0.4326836585998535,86.0,80.0,50.8,46.8
MFCC,10.0,0.1,linear,0.6373199677382186,0.6337546879873053,0.667133743449533,0.6490276329917022,0.6809413621064887,4.003477096557617,88.6,79.4,51.4,44.2
MFCC,10.0,0.1,rbf,0.6039002189192303,0.6116943765349182,0.5872977899293689,0.5989637625843311,0.6489403003585406,0.5277325630187988,78.0,81.2,49.6,54.8
MFCC,10.0,1.0,linear,0.6373199677382186,0.6337546879873053,0.667133743449533,0.6490276329917022,0.6809413621064887,3.976573419570923,88.6,79.4,51.4,44.2
MFCC,10.0,1.0,rbf,0.5007518147251988,0.5023018203170875,0.9714057871952608,0.6620196472644564,0.5357897372481542,0.5289150238037109,129.0,3.0,127.8,3.8
MFCC,100.0,0.001,linear,0.6380775434957944,0.6342431937344317,0.6686375028480291,0.6499834026719867,0.6807401771925676,36.76002445220947,88.8,79.4,51.4,44.0
MFCC,100.0,0.001,rbf,0.6357846526097477,0.632954631498973,0.6641034404192299,0.6474305607411811,0.6910033009711595,0.44524264335632324,88.2,79.4,51.4,44.6
MFCC,100.0,0.01,linear,0.6380775434957944,0.6342431937344317,0.6686375028480291,0.6499834026719867,0.6807401771925676,39.61195321083069,88.8,79.4,51.4,44.0
MFCC,100.0,0.01,rbf,0.5993634059223414,0.5993903397170106,0.6173388015493279,0.6077957701811231,0.6197494978571716,1.1521422386169433,82.0,76.0,54.8,50.8
MFCC,100.0,0.1,linear,0.6380775434957944,0.6342431937344317,0.6686375028480291,0.6499834026719867,0.6807401771925676,36.652898645401,88.8,79.4,51.4,44.0
MFCC,100.0,0.1,rbf,0.6046606751929946,0.613516406308745,0.5843016632490317,0.5982534970722185,0.6484313048676247,0.53468017578125,77.6,81.8,49.0,55.2
MFCC,100.0,1.0,linear,0.6380775434957944,0.6342431937344317,0.6686375028480291,0.6499834026719867,0.6807401771925676,37.75146045684814,88.8,79.4,51.4,44.0
MFCC,100.0,1.0,rbf,0.5007518147251988,0.5023018203170875,0.9714057871952608,0.6620196472644564,0.5357897372481542,0.5179526329040527,129.0,3.0,127.8,3.8
MFCC_DELTA,0.1,0.001,linear,0.6289751123401314,0.6285683155220582,0.6445203918888129,0.6355670251794815,0.6699625197355209,0.4212987422943115,85.6,80.2,50.6,47.2
MFCC_DELTA,0.1,0.001,rbf,0.50455409609402,0.5041767704619996,1.0,0.6703686999778242,0.6115884336635642,0.7001310825347901,132.8,0.2,130.6,0.0
MFCC_DELTA,0.1,0.01,linear,0.6289751123401314,0.6285683155220582,0.6445203918888129,0.6355670251794815,0.6699625197355209,0.2956812858581543,85.6,80.2,50.6,47.2
MFCC_DELTA,0.1,0.01,rbf,0.6137919115105428,0.6080885126106801,0.6519594440647072,0.6287525406376405,0.6705485621917924,0.5229252815246582,86.6,75.2,55.6,46.2
MFCC_DELTA,0.1,0.1,linear,0.6289751123401314,0.6285683155220582,0.6445203918888129,0.6355670251794815,0.6699625197355209,0.2895039558410645,85.6,80.2,50.6,47.2
MFCC_DELTA,0.1,0.1,rbf,0.5174530475861274,0.5112115699877068,0.9759398496240601,0.6708033370785056,0.6680547127975813,0.7058628082275391,129.6,6.8,124.0,3.2
MFCC_DELTA,0.1,1.0,linear,0.6289751123401314,0.6285683155220582,0.6445203918888129,0.6355670251794815,0.6699625197355209,0.2925717353820801,85.6,80.2,50.6,47.2
MFCC_DELTA,0.1,1.0,rbf,0.5037936398202557,0.5037936398202557,1.0,0.6700294337695096,0.47348453608799124,0.5492743492126465,132.8,0.0,130.8,0.0
MFCC_DELTA,1.0,0.001,linear,0.6380833045281714,0.6383247532627241,0.6505582137161083,0.6438180188937879,0.6677006012602638,0.9190818786621093,86.4,81.8,49.0,46.4
MFCC_DELTA,1.0,0.001,rbf,0.623660559972347,0.6264267297686547,0.6203577124629757,0.6229637248708718,0.6726805857862507,0.49309802055358887,82.4,82.0,48.8,50.4
MFCC_DELTA,1.0,0.01,linear,0.6380833045281714,0.6383247532627241,0.6505582137161083,0.6438180188937879,0.6677006012602638,0.9350234985351562,86.4,81.8,49.0,46.4
MFCC_DELTA,1.0,0.01,rbf,0.6464252794100702,0.6376651002146271,0.6912166780587834,0.6630463185153795,0.6959578234809252,0.4603134632110596,91.8,78.6,52.2,41.0
MFCC_DELTA,1.0,0.1,linear,0.6380833045281714,0.6383247532627241,0.6505582137161083,0.6438180188937879,0.6677006012602638,1.1068028450012206,86.4,81.8,49.0,46.4
MFCC_DELTA,1.0,0.1,rbf,0.6175970733955525,0.6296518440337402,0.5858282068808385,0.6066140266581539,0.6807850981213778,0.6968574523925781,77.8,85.0,45.8,55.0
MFCC_DELTA,1.0,1.0,linear,0.6380833045281714,0.6383247532627241,0.6505582137161083,0.6438180188937879,0.6677006012602638,0.921987771987915,86.4,81.8,49.0,46.4
MFCC_DELTA,1.0,1.0,rbf,0.5045512155778316,0.5042001482420313,0.9954887218045112,0.6693637136664635,0.5060463428362183,0.5763225555419922,132.2,0.8,130.0,0.6
MFCC_DELTA,10.0,0.001,linear,0.6335407304989055,0.632871749164746,0.6505582137161084,0.6407460974479606,0.6698643756136724,11.232608461380005,86.4,80.6,50.2,46.4
MFCC_DELTA,10.0,0.001,rbf,0.6335004032722663,0.6283578311793085,0.6670653907496013,0.6466556265076033,0.6827140042226423,0.4623587608337402,88.6,78.4,52.4,44.2
MFCC_DELTA,10.0,0.01,linear,0.6335407304989055,0.632871749164746,0.6505582137161084,0.6407460974479606,0.6698643756136724,8.431679677963256,86.4,80.6,50.2,46.4
MFCC_DELTA,10.0,0.01,rbf,0.6244181357299228,0.624378441607764,0.643028024606972,0.63255896144281,0.6770308297568242,0.50581955909729,85.4,79.2,51.6,47.4
MFCC_DELTA,10.0,0.1,linear,0.6335407304989055,0.632871749164746,0.6505582137161084,0.6407460974479606,0.6698643756136724,8.464338445663453,86.4,80.6,50.2,46.4
MFCC_DELTA,10.0,0.1,rbf,0.6153185850904482,0.6308167959121349,0.5707678286625655,0.5989012667874393,0.662627899086316,0.609181261062622,75.8,86.4,44.4,57.0
MFCC_DELTA,10.0,1.0,linear,0.6335407304989055,0.632871749164746,0.6505582137161084,0.6407460974479606,0.6698643756136724,9.64684271812439,86.4,80.6,50.2,46.4
MFCC_DELTA,10.0,1.0,rbf,0.5068297038829358,0.5053614318311036,0.9954887218045112,0.6703841219638799,0.5074924405981055,0.580284309387207,132.2,1.4,129.4,0.6
MFCC_DELTA,100.0,0.001,linear,0.6312651227099896,0.6299250830861379,0.6505468215994532,0.6392785070835648,0.6694425709552266,69.88731899261475,86.4,80.0,50.8,46.4
MFCC_DELTA,100.0,0.001,rbf,0.6274513192764143,0.6248330447769732,0.6520733652312599,0.6373858044551614,0.6737316908349451,0.5144424438476562,86.6,78.8,52.0,46.2
MFCC_DELTA,100.0,0.01,linear,0.6312651227099896,0.6299250830861379,0.6505468215994532,0.6392785070835648,0.6694425709552266,70.17662014961243,86.4,80.0,50.8,46.4
MFCC_DELTA,100.0,0.01,rbf,0.5826765756423551,0.5840862627781294,0.5993506493506493,0.5913997180451871,0.6123954798382278,0.9154540061950683,79.6,74.0,56.8,53.2
