Strategy,C,Gamma,Kernel,Accuracy_mean,Precision_mean,Recall_mean,F1_mean,AUC_mean,Training_Time_mean,TP_mean,TN_mean,FP_mean,FN_mean
MFCC,1.0,0.1,linear,0.6365595114644544,0.632429218682384,0.6686375028480291,0.649023476872195,0.6809866208520287,0.3110204696655273,88.8,79.0,51.8,44.0
MFCC,1.0,0.1,rbf,0.6221223643276875,0.6313941330748598,0.6038847117794486,0.6166861391396707,0.6790932570844183,0.23679776191711427,80.2,83.8,47.0,52.6
MFCC,1.0,1.0,linear,0.6365595114644544,0.632429218682384,0.6686375028480291,0.649023476872195,0.6811481119657093,0.31255111694335935,88.8,79.0,51.8,44.0
MFCC,1.0,1.0,rbf,0.5030389445788686,0.5034875018709773,0.9879585326953748,0.6670155424145691,0.5157096840483743,0.2538358211517334,131.2,1.4,129.4,1.6
MFCC,10.0,0.001,linear,0.6373199677382186,0.6337546879873053,0.667133743449533,0.6490276329917022,0.6807401738478476,2.059822845458984,88.6,79.4,51.4,44.2
MFCC,10.0,0.001,rbf,0.6297182855167647,0.6236474407378008,0.6685805422647527,0.6448844931283955,0.6893558329978579,0.19315567016601562,88.8,77.2,53.6,44.0
MFCC,10.0,0.01,linear,0.6373199677382186,0.6337546879873053,0.667133743449533,0.6490276329917022,0.6807864814976105,2.035456657409668,88.6,79.4,51.4,44.2
MFCC,10.0,0.01,rbf,0.629721166032953,0.6296968755799428,0.6475734791524265,0.6376970571617034,0.680460031464451,0.21344780921936035,86.0,80.0,50.8,46.8
MFCC,10.0,0.1,linear,0.6373199677382186,0.6337546879873053,0.667133743449533,0.6490276329917022,0.6808149183078873,1.8969776153564453,88.6,79.4,51.4,44.2
MFCC,10.0,0.1,rbf,0.6039002189192303,0.6116943765349182,0.5872977899293689,0.5989637625843311,0.6488426398832184,0.25792860984802246,78.0,81.2,49.6,54.8
MFCC,10.0,1.0,linear,0.6373199677382186,0.6337546879873053,0.667133743449533,0.6490276329917022,0.6808090918054759,2.0465774536132812,88.6,79.4,51.4,44.2
MFCC,10.0,1.0,rbf,0.5007518147251988,0.5023018203170875,0.9714057871952608,0.6620196472644564,0.5453379337951454,0.24291410446166992,129.0,3.0,127.8,3.8
MFCC,100.0,0.001,linear,0.6380775434957944,0.6342431937344317,0.6686375028480291,0.6499834026719867,0.6806021653450339,20.185832595825197,88.8,79.4,51.4,44.0
MFCC,100.0,0.001,rbf,0.6357846526097477,0.632954631498973,0.6641034404192299,0.6474305607411811,0.6909576455418158,0.23143892288208007,88.2,79.4,51.4,44.6
MFCC,100.0,0.01,linear,0.6380775434957944,0.6342431937344317,0.6686375028480291,0.6499834026719867,0.6806136444244117,23.79284462928772,88.8,79.4,51.4,44.0
MFCC,100.0,0.01,rbf,0.5993634059223414,0.5993903397170106,0.6173388015493279,0.6077957701811231,0.619577311666504,0.5527295589447021,82.0,76.0,54.8,50.8
MFCC,100.0,0.1,linear,0.6380775434957944,0.6342431937344317,0.6686375028480291,0.6499834026719867,0.6806884323658128,23.937793970108032,88.8,79.4,51.4,44.0
MFCC,100.0,0.1,rbf,0.6046606751929946,0.613516406308745,0.5843016632490317,0.5982534970722185,0.6485410163694614,0.26160573959350586,77.6,81.8,49.0,55.2
MFCC,100.0,1.0,linear,0.6380775434957944,0.6342431937344317,0.6686375028480291,0.6499834026719867,0.6807460859750936,21.780537176132203,88.8,79.4,51.4,44.0
MFCC,100.0,1.0,rbf,0.5007518147251988,0.5023018203170875,0.9714057871952608,0.6620196472644564,0.5144501219953208,0.32955503463745117,129.0,3.0,127.8,3.8
MFCC_DELTA,0.1,0.001,linear,0.6289751123401314,0.6285683155220582,0.6445203918888129,0.6355670251794815,0.669922121537228,0.190305757522583,85.6,80.2,50.6,47.2
MFCC_DELTA,0.1,0.001,rbf,0.50455409609402,0.5041767704619996,1.0,0.6703686999778242,0.5534055739359074,0.32990331649780275,132.8,0.2,130.6,0.0
MFCC_DELTA,0.1,0.01,linear,0.6289751123401314,0.6285683155220582,0.6445203918888129,0.6355670251794815,0.6698251621152383,0.19539446830749513,85.6,80.2,50.6,47.2
MFCC_DELTA,0.1,0.01,rbf,0.6137919115105428,0.6080885126106801,0.6519594440647072,0.6287525406376405,0.6705488210731281,0.31966280937194824,86.6,75.2,55.6,46.2
MFCC_DELTA,0.1,0.1,linear,0.6289751123401314,0.6285683155220582,0.6445203918888129,0.6355670251794815,0.6697437636690349,0.19224352836608888,85.6,80.2,50.6,47.2
MFCC_DELTA,0.1,0.1,rbf,0.5174530475861274,0.5112115699877068,0.9759398496240601,0.6708033370785056,0.6574379818654628,0.34066338539123536,129.6,6.8,124.0,3.2
